Date,Start Time,End Time,,,,,,Send data from,238,
"Fri, Mar 26 ",3:00:00 AM,10:00:00 AM,,,,,,,,
"Fri, Mar 26 ",8:00:00 PM,9:00:00 PM,,,,,,,,
"Sat, Mar 27 ",12:00:00 AM,10:00:00 AM,,,,,,,,
"Sun, Mar 28 ",1:00:00 AM,10:00:00 AM,,,,,,,,
"Mon, Mar 29 ",2:30:00 AM,11:00:00 AM,,,,,,,,
"Tue, Mar 30 ",1:00:00 AM,8:30:00 AM,,,,,,,,
"Wed, Mar 31 ",2:00:00 AM,6:30:00 AM,,,,,,,,
"Wed, Mar 31 ",9:00:00 AM,11:00:00 AM,,,,,,,,
"Wed, Mar 31 ",11:30:00 PM,11:59:00 PM,,,,,,,,
"Thu, Apr 1 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Thu, Apr 1 ",6:10:00 AM,10:00:00 AM,,,,,,,,
"Fri, Apr 2 ",2:00:00 AM,10:00:00 AM,,,,,,,,
"Sat, Apr 3 ",2:30:00 AM,10:00:00 AM,,,,,,,,
"Sat, Apr 3 ",2:30:00 PM,4:30:00 PM,,,,,,,,
"Sun, Apr 4 ",12:20:00 AM,8:30:00 AM,,,,,,,,
"Mon, Apr 5 ",12:30:00 AM,1:00:00 AM,,,,,,,,
"Mon, Apr 5 ",2:00:00 AM,9:00:00 AM,,,,,,,,
"Tue, Apr 6 ",2:30:00 AM,11:00:00 AM,,,,,,,,
"Wed, Apr 7 ",2:30:00 AM,9:30:00 AM,,,,,,,,
"Wed, Apr 7 ",3:00:00 PM,5:45:00 PM,,,,,,,,
"Thu, Apr 8 ",2:15:00 AM,9:00:00 AM,,,,,,,,
"Thu, Apr 8 ",2:30:00 PM,5:00:00 PM,,,,,,,,
"Fri, Apr 9 ",2:00:00 AM,9:00:00 AM,,,,,,,,
"Sat, Apr 10 ",12:00:00 AM,10:30:00 AM,,,,,,,,
"Sun, Apr 11 ",3:10:00 AM,11:00:00 AM,,,,,,,,
"Sun, Apr 11 ",3:00:00 PM,4:30:00 PM,,,,,,,,
"Mon, Apr 12 ",2:00:00 AM,10:00:00 AM,,,,,,,,
"Tue, Apr 13 ",3:00:00 AM,9:30:00 AM,,,,,,,,
"Wed, Apr 14 ",1:30:00 AM,9:00:00 AM,,,,,,,,
"Thu, Apr 15 ",2:30:00 AM,10:00:00 AM,,,,,,,,
"Fri, Apr 16 ",2:00:00 AM,10:50:00 AM,,,,,,,,
"Sat, Apr 17 ",5:20:00 AM,1:20:00 PM,,,,,,,,
"Sun, Apr 18 ",2:30:00 AM,11:00:00 AM,,,,,,,,
"Sun, Apr 18 ",10:30:00 PM,11:59:00 PM,,,,,,,,
"Mon, Apr 19 ",12:00:00 AM,5:30:00 AM,,,,,,,,
"Mon, Apr 19 ",1:30:00 PM,4:30:00 PM,,,,,,,,
"Tue, Apr 20 ",2:45:00 AM,6:15:00 AM,,,,,,,,
"Tue, Apr 20 ",3:00:00 PM,3:15:00 PM,,,,,,,,
"Wed, Apr 21 ",12:40:10 AM,6:15:00 AM,,,,,,,,
"Wed, Apr 21 ",9:00:00 AM,11:00:00 AM,,,,,,,,
"Wed, Apr 21 ",1:30:00 PM,3:00:00 PM,,,,,,,,
"Thu, Apr 22 ",12:15:00 AM,6:00:00 AM,,,,,,,,
"Thu, Apr 22 ",7:00:00 AM,8:30:00 AM,,,,,,,,
"Fri, Apr 23 ",2:30:00 AM,6:30:00 AM,,,,,,,,
"Fri, Apr 23 ",7:00:00 AM,9:00:00 AM,,,,,,,,
"Sat, Apr 24 ",12:00:00 AM,6:30:00 AM,,,,,,,,
"Sat, Apr 24 ",7:00:00 AM,9:00:00 AM,,,,,,,,
"Sun, Apr 25 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Mon, Apr 26 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Mon, Apr 26 ",6:30:00 AM,9:30:00 AM,,,,,,,,
"Tue, Apr 27 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Wed, Apr 28 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Wed, Apr 28 ",7:30:00 AM,9:00:00 AM,,,,,,,,
"Wed, Apr 28 ",11:00:00 AM,11:59:00 AM,,,,,,,,
"Thu, Apr 29 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Fri, Apr 30 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Sat, May 1 ",12:30:00 AM,6:00:00 AM,,,,,,,,
"Sun, May 2 ",12:30:00 AM,6:00:00 AM,,,,,,,,
"Sun, May 2 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Mon, May 3 ",12:00:00 AM,6:30:00 AM,,,,,,,,
"Mon, May 3 ",2:00:00 PM,4:30:00 PM,,,,,,,,
"Mon, May 3 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Tue, May 4 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Tue, May 4 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Wed, May 5 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Wed, May 5 ",7:30:00 AM,9:00:00 AM,,,,,,,,
"Wed, May 5 ",3:15:00 PM,4:30:00 PM,,,,,,,,
"Thu, May 6 ",1:00:00 AM,6:00:00 AM,,,,,,,,
"Thu, May 6 ",6:45:00 AM,8:30:00 AM,,,,,,,,
"Thu, May 6 ",1:30:00 PM,3:30:00 PM,,,,,,,,
"Sat, May 15 ",2:00:00 AM,6:00:00 AM,,,,,,,,
"Sat, May 15 ",1:30:00 PM,4:30:00 PM,,,,,,,,
"Sat, May 15 ",11:20:06 PM,11:59:00 PM,,,,,,,,
"Sun, May 16 ",2:00:00 AM,6:00:00 AM,,,,,,,,
"Sun, May 16 ",7:00:00 AM,8:30:00 AM,,,,,,,,
"Sun, May 16 ",9:00:00 AM,10:00:00 AM,,,,,,,,
"Mon, May 17 ",2:00:00 AM,6:30:00 AM,,,,,,,,
"Mon, May 17 ",7:00:00 AM,7:30:00 AM,,,,,,,,
"Mon, May 17 ",3:00:00 PM,4:30:00 PM,,,,,,,,
"Mon, May 17 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Tue, May 18 ",12:00:00 AM,4:00:00 AM,,,,,,,,
"Tue, May 18 ",4:30:00 AM,5:30:00 AM,,,,,,,,
"Tue, May 18 ",8:00:00 AM,8:15:00 AM,,,,,,,,
"Tue, May 18 ",8:30:00 AM,9:40:00 AM,,,,,,,,
"Tue, May 18 ",12:30:00 PM,1:44:49 PM,,,,,,,,
"Tue, May 18 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Wed, May 19 ",12:00:00 AM,7:00:00 AM,,,,,,,,
"Thu, May 20 ",3:00:00 AM,10:30:11 AM,,,,,,,,
"Thu, May 20 ",3:00:00 PM,4:45:53 PM,,,,,,,,
"Fri, May 21 ",1:00:00 AM,6:00:00 AM,,,,,,,,
"Fri, May 21 ",7:00:00 AM,9:45:00 AM,,,,,,,,
"Sat, May 22 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Sat, May 22 ",6:30:00 AM,9:30:00 AM,,,,,,,,
"Sat, May 22 ",5:12:15 PM,6:00:00 PM,,,,,,,,
"Sun, May 23 ",1:00:00 AM,6:00:00 AM,,,,,,,,
"Sun, May 23 ",7:24:36 AM,9:00:00 AM,,,,,,,,
"Mon, May 24 ",1:00:00 AM,6:00:00 AM,,,,,,,,
"Mon, May 24 ",7:00:00 AM,10:00:00 AM,,,,,,,,
"Tue, May 25 ",12:30:00 AM,6:20:00 AM,,,,,,,,
"Tue, May 25 ",6:50:00 AM,8:00:00 AM,,,,,,,,
"Tue, May 25 ",4:00:00 PM,4:50:17 PM,,,,,,,,
"Wed, May 26 ",12:30:00 AM,6:00:00 AM,,,,,,,,
"Wed, May 26 ",6:30:00 AM,9:00:00 AM,,,,,,,,
"Thu, May 27 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Thu, May 27 ",7:00:00 AM,9:00:00 AM,,,,,,,,
"Fri, May 28 ",1:00:00 AM,6:00:00 AM,,,,,,,,
"Fri, May 28 ",9:53:32 AM,12:00:00 PM,,,,,,,,
"Fri, May 28 ",11:15:00 PM,11:59:00 PM,,,,,,,,
"Sat, May 29 ",12:00:00 AM,6:30:00 AM,,,,,,,,
"Sat, May 29 ",7:00:00 AM,8:45:00 AM,,,,,,,,
"Sun, May 30 ",12:45:00 AM,6:00:00 AM,,,,,,,,
"Sun, May 30 ",7:00:00 AM,10:40:00 AM,,,,,,,,
"Sun, May 30 ",3:00:00 PM,5:00:00 PM,,,,,,,,
"Sun, May 30 ",3:00:00 PM,5:00:00 PM,,,,,,,,
"Sun, May 30 ",5:00:36 PM,6:00:00 PM,,,,,,,,
"Mon, May 31 ",2:00:00 AM,6:00:00 AM,,,,,,,,
"Tue, Jun 1 ",1:30:00 AM,6:00:00 AM,,,,,,,,
"Tue, Jun 1 ",3:00:00 PM,4:30:00 PM,,,,,,,,
"Tue, Jun 1 ",5:00:00 PM,6:30:00 PM,,,,,,,,
"Tue, Jun 1 ",11:30:00 PM,11:59:00 PM,,,,,,,,
"Wed, Jun 2 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Wed, Jun 2 ",7:00:00 AM,10:00:00 AM,,,,,,,,
"Thu, Jun 3 ",1:00:00 AM,6:00:00 AM,,,,,,,,
